libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.0-3
libxml2 2.9.14-1
libxmlb 0.3.9-1
libxmu 1.1.3-3
libxnvctrl 515.57-1
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.10-5
libxshmfence 1.3-3
libxslt 1.1.35-1
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.3-5
libxv 1.0.11-5
libxvmc 1.0.13-1
libxxf86vm 1.1.4-5
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
libzen 0.4.39-1
libzip 1.9.2-1
libzmf 0.0.2-12
licenses 20220125-1
lilv 0.24.14-2
linux 5.18.14.arch1-1
linux-api-headers 5.17.5-2
linux-enable-ir-emitter-git 4.1.2.r3.ga6d606f-1
linux-firmware 20220708.be7798e-1
linux-firmware-bnx2x 20220708.be7798e-1
linux-firmware-liquidio 20220708.be7798e-1
linux-firmware-mellanox 20220708.be7798e-1
linux-firmware-nfp 20220708.be7798e-1
linux-firmware-qlogic 20220708.be7798e-1
linux-firmware-whence 20220708.be7798e-1
linux-headers 5.18.14.arch1-1
linux-zen 5.18.14.zen1-1
linux-zen-headers 5.18.14.zen1-1
lld 14.0.6-1
llvm 14.0.6-1
llvm-libs 14.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lpsolve 5.5.2.11-1
lrzip 0.651-2
lsb-release 2.0.r48.3cf5103-1
lsof 4.95.0-1
lsscsi 0.32-1
lttng-ust 2.13.3-1
lua 5.4.4-1
lua53 5.3.6-1
luajit 2.1.0.beta3.r431.g5677985d-1
luit 20220111-1
lutris-git 0.5.10.1.r73.gf6e7d86b-1
lv2 1.18.4-2
lvm2 2.03.16-1
lxappearance 0.6.3-4
lxqt-build-tools-git 0.11.0-1
lxqt-policykit-git 1.1.0-1
ly-git 0.5.3.r31.g78e2fd1-1
lz4 1:1.9.3-2
lzo 2.10-3
lzop 1.04-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
mallard-ducktype 1.0.2-8
man-db 2.10.2-1
mangohud-common-git 0.6.6.1.r217.g4f9d870-1
mangohud-git 0.6.6.1.r217.g4f9d870-1
mariadb-libs 10.8.3-1
marktext-bin 0.17.1-1
mbedtls 2.28.0-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mediainfo 22.06-2
menu-cache 1.1.0-3
mesa 22.1.3-1
mesa-utils 8.5.0-2
meson 0.63.0-1
metis 5.1.0.p10-2
minizip 1:1.2.12-2
miraclecast-git 297.3ab7d59-1
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mkinitcpio-firmware 1.3.0-2
mlt 7.8.0-1
mobile-broadband-provider-info 20220511-1
mono 6.12.0.177-1
montserrat-ttf 7.222-1
mopidy 3.3.0-1
mpd 0.23.8-1
mpfr 4.1.0.p13-2
mpg123 1.30.1-1
mpv 1:0.34.1-4
msgpack-c 4.0.0-1
mtdev 1.1.6-2
mtools 1:4.0.40-1
mtpfs 1.1-4
mujs 1.2.0-2
multimc-git 0.6.15.r11.gf45f8317-1
multipath-tools 0.9.0-1
mymonero 1.2.7-2
mypaint-brushes1 1.3.1-1
nano 6.3-1
nasm 2.15.05-1
ncurses 6.3-3
ndctl 73-1
neofetch 7.1.0-2
neon 0.32.2-1
neovim 0.7.2-3
neovim-remote 2.5.0-1
nerdfetch 5.0.2-3
netcoredbg 2.0.0_915-1
netpbm 10.73.37-1
netstandard-targeting-pack 6.0.6.sdk106-1
nettle 3.8-1
network-manager-applet 1.28.0-1
networkmanager 1.38.2-2
networkmanager-openvpn 1.8.18-2
nftables 1:1.0.4-1
nilfs-utils 2.2.9-1
ninja 1.11.0-1
nm-connection-editor 1.28.0-1
nmap 7.92-1
nnn-nerd 4.5-1
node-gyp 9.1.0-1
nodejs-lts-gallium 16.16.0-1
nodejs-nopt 5.0.0-2
noto-fonts-emoji-apple 1:15.4-4
npm 8.12.2-1
npth 1.6-3
nspr 4.34-1
nss 3.81-1
ntfs-3g 2022.5.17-1
numactl 2.0.14-3
nvim-packer-git r503.494fd59-1
nvm 0.39.1-1
obs-studio 27.2.4-2
ocl-icd 2.3.1-1
